module,time_s,peak_kb,ir_lines,status,seed_version
llvm__expression_lowering__native__core_scopes,2.63,372912,3087,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__core_strings,3.80,314048,2658,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__core_text,1.29,331296,4964,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__core_type_mapping,2.00,389728,5562,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__core,16.71,4494896,16487,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__lambda_lowering,3.45,740640,8484,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__mod,8.85,436288,1420,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__runtime_call,3.88,268224,2108,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__statement_assignment,9.29,920832,6199,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__statement_parsing,1.03,204320,2980,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__statement_suspension,5.52,378448,2936,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__statement_type_mapping,1.86,318480,4194,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__statement,9.83,978640,6942,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__native__temp_recovery,0.67,95360,921,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expression_lowering__splitting,0.65,114320,1809,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expressions_bindings,0.72,114208,1184,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expressions_helpers,1.03,164304,1992,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expressions_literals,0.67,148336,2123,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expressions_operators,1.05,186160,3203,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expressions_parsing,1.35,366864,5904,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__expressions,0.83,120400,953,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__imports,1.98,432000,5209,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lifetime,2.42,616336,5703,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering_debug_state,0.49,100976,1487,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__abi_hash,0.28,95472,1370,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__emission_async,5.29,557136,3428,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__emission_header,0.57,92976,807,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__emission,5.88,779920,7046,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__entrypoints_tests_writer,7.64,642128,1885,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__entrypoints_tests,7.99,666528,1901,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__entrypoints,8.89,1009152,3817,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_condition,6.22,387088,2039,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_for_range,10.40,931168,5261,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_for,10.58,848592,3846,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_helpers,1.58,265760,2722,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
