module,time_s,peak_kb,ir_lines,status,seed_version
analyzer,0.74,170740,2555,ok,0.9.1
arena_relocate,0.19,107776,258,ok,0.9.1
assert_failure,0.18,106324,234,ok,0.9.1
ast,0.26,118056,429,ok,0.9.1
backend,0.44,134316,2158,ok,0.9.1
bare_assert_check,0.36,126588,2718,ok,0.9.1
bootstrap_manifest,0.34,129400,1522,ok,0.9.1
build_cache,0.87,250480,4752,ok,0.9.1
build_flags,0.19,108408,277,ok,0.9.1
build_report,0.56,157068,2584,ok,0.9.1
build_stamp,0.27,116260,718,ok,0.9.1
capsule_artifact,0.50,164224,2646,ok,0.9.1
capsule_emit_parallel,0.98,251848,4905,ok,0.9.1
capsule_import_scan,0.57,188664,6747,ok,0.9.1
capsule_names,0.22,112528,566,ok,0.9.1
cli_selfhost,1.07,285956,4796,ok,0.9.1
decorator_resolver,0.37,136068,1562,ok,0.9.1
decorator_semantics,0.19,107948,266,ok,0.9.1
diagnostic,0.21,112888,453,ok,0.9.1
diagnostics_json,0.35,133128,1800,ok,0.9.1
diagnostics_render,0.33,133668,1572,ok,0.9.1
dist_manifest,0.28,117564,941,ok,0.9.1
effect_diagnostics,0.31,122660,1312,ok,0.9.1
effect_gate,0.32,121160,972,ok,0.9.1
effect_imports,0.37,142212,1074,ok,0.9.1
effect_taxonomy,0.20,110968,440,ok,0.9.1
emit_helpers,0.74,201380,3194,ok,0.9.1
emit_native,1.42,387076,10810,ok,0.9.1
emit_native_desugar_try,1.03,267540,9916,ok,0.9.1
emit_native_format,0.92,260416,7940,ok,0.9.1
emit_native_layout,0.87,212772,5124,ok,0.9.1
emit_native_state,0.75,231428,2252,ok,0.9.1
emitter_sailfin,0.91,252012,8158,ok,0.9.1
emitter_sailfin_expr,0.52,134128,4299,ok,0.9.1
emitter_sailfin_utils,0.30,131224,1414,ok,0.9.1
ice,0.25,113056,592,ok,0.9.1
import_resolution_check,0.31,119600,863,ok,0.9.1
intrinsic_effects,1.08,259064,4051,ok,0.9.1
lambda_lowering,1.54,353808,11015,ok,0.9.1
lambda_param_inference,0.75,192184,6926,ok,0.9.1
lexer,0.46,159328,3273,ok,0.9.1
lock,0.30,132344,1496,ok,0.9.1
main,2.11,631056,7668,ok,0.9.1
native_ir,0.29,129252,367,ok,0.9.1
native_ir_api,0.57,159400,3071,ok,0.9.1
native_ir_parser,0.75,192352,4461,ok,0.9.1
native_ir_parser_defs,0.90,247428,6253,ok,0.9.1
native_ir_parser_instructions,0.55,143992,3321,ok,0.9.1
native_ir_utils_layout,0.79,230052,7377,ok,0.9.1
native_ir_utils_parse,0.93,279300,7629,ok,0.9.1
native_ir_utils_text,0.50,174132,4621,ok,0.9.1
num_format,0.21,158564,346,ok,0.9.1
ownership_checker,7.49,1463328,34839,ok,0.9.1
ownership_task_provenance,1.03,281092,9637,ok,0.9.1
prelude_globals,0.27,198116,1001,ok,0.9.1
prelude_scan,0.26,198756,1011,ok,0.9.1
reexport_check,0.34,199524,2094,ok,0.9.1
release_trust,0.18,201444,204,ok,0.9.1
runtime_capsule_resolver,0.45,201700,2577,ok,0.9.1
semver,0.27,203620,1461,ok,0.9.1
