module,time_s,peak_kb,ir_lines,status,seed_version
llvm__lowering__instructions_match,3.70,801660,9563,ok,0.8.4
llvm__lowering__instructions_match_condition,2.12,713592,5803,ok,0.8.4
llvm__lowering__instructions_routine,1.23,719352,2570,ok,0.8.4
llvm__lowering__instructions_try,2.55,722424,5761,ok,0.8.4
llvm__lowering__lowering_core,14.13,1441140,17104,ok,0.8.4
llvm__lowering__lowering_helpers,3.42,744952,11002,ok,0.8.4
llvm__lowering__lowering_helpers_mangling,5.54,754040,6904,ok,0.8.4
llvm__lowering__lowering_io,1.28,760696,2727,ok,0.8.4
llvm__lowering__lowering_native_helpers,1.95,763384,2192,ok,0.8.4
llvm__lowering__lowering_phase_functions,2.36,765432,3362,ok,0.8.4
llvm__lowering__lowering_phase_imports,1.27,769272,2656,ok,0.8.4
llvm__lowering__lowering_phase_render,1.31,772984,2379,ok,0.8.4
llvm__lowering__lowering_phase_sanitize,2.01,775672,3473,ok,0.8.4
llvm__lowering__lowering_phase_types,0.76,779896,1595,ok,0.8.4
llvm__lowering__lowering_recovery,5.87,781944,15529,ok,0.8.4
llvm__lowering__lowering_text_utils,0.70,794104,2006,ok,0.8.4
llvm__lowering__module_globals,1.44,796024,4356,ok,0.8.4
llvm__lowering__phi,1.16,800248,4009,ok,0.8.4
llvm__lowering__type_descriptors,1.66,803832,2661,ok,0.8.4
parser__declarations__collections,0.41,806648,437,ok,0.8.4
parser__declarations__enums,0.85,807160,2025,ok,0.8.4
parser__declarations__functions,1.35,809080,2738,ok,0.8.4
parser__declarations__imports_exports,0.80,811640,2132,ok,0.8.4
parser__declarations__interfaces,0.89,813688,2331,ok,0.8.4
parser__declarations__mod,0.47,815992,676,ok,0.8.4
parser__declarations__recovery,0.53,816760,1038,ok,0.8.4
parser__declarations__structs,0.97,817784,2324,ok,0.8.4
parser__declarations__syntax,1.43,820216,4869,ok,0.8.4
parser__declarations__tests,0.69,824312,1007,ok,0.8.4
parser__declarations__variables,0.77,825336,1629,ok,0.8.4
parser__expressions__concurrency,0.65,827000,1209,ok,0.8.4
parser__expressions__lambdas,1.12,828408,2685,ok,0.8.4
parser__expressions__literals,0.95,831096,2676,ok,0.8.4
parser__expressions__mod,1.38,833784,5032,ok,0.8.4
parser__expressions__normalize,0.47,837880,1161,ok,0.8.4
parser__expressions__postfix,1.21,838776,3776,ok,0.8.4
parser__expressions__prefix,1.11,842232,2645,ok,0.8.4
parser__expressions__type_targets,0.88,844792,2484,ok,0.8.4
cli__commands__test__arg_and_jobs,0.60,847224,1174,ok,0.8.4
cli__commands__test__cache_scratch,1.13,847864,3158,ok,0.8.4
cli__commands__test__discovery,1.62,851960,3545,ok,0.8.4
cli__commands__test__exec,0.63,856440,1831,ok,0.8.4
cli__commands__test__link,0.96,857720,2310,ok,0.8.4
cli__commands__test__mod,2.65,861176,5259,ok,0.8.4
cli__commands__test__multi_file_run,1.79,867320,4653,ok,0.8.4
cli__commands__test__pool,1.18,872696,3476,ok,0.8.4
cli__commands__test__reporting,0.67,876792,2461,ok,0.8.4
cli__commands__test__single_process_run,2.43,878712,6222,ok,0.8.4
llvm__expression_lowering__native__core,3.96,885368,9056,ok,0.8.4
llvm__expression_lowering__native__core_addressing,0.62,894456,1077,ok,0.8.4
llvm__expression_lowering__native__core_bf16_lowering,1.64,895992,3506,ok,0.8.4
llvm__expression_lowering__native__core_bindings,0.44,899704,796,ok,0.8.4
llvm__expression_lowering__native__core_borrow_lowering,0.66,901112,1157,ok,0.8.4
llvm__expression_lowering__native__core_call_emission,14.01,1402088,13785,ok,0.8.4
llvm__expression_lowering__native__core_call_lowering,3.31,915192,7627,ok,0.8.4
llvm__expression_lowering__native__core_call_resolution,5.85,1077872,18558,ok,0.8.4
llvm__expression_lowering__native__core_calls,0.67,938616,2775,ok,0.8.4
llvm__expression_lowering__native__core_cast_lowering,2.70,941048,6807,ok,0.8.4
llvm__expression_lowering__native__core_concurrency_lowering,4.95,1033208,12221,ok,0.8.4
llvm__expression_lowering__native__core_helpers,0.60,958456,1395,ok,0.8.4
llvm__expression_lowering__native__core_index_lowering,1.64,960120,4196,ok,0.8.4
llvm__expression_lowering__native__core_literals_lowering,5.98,1113588,11460,ok,0.8.4
llvm__expression_lowering__native__core_match_helpers,0.38,974712,745,ok,0.8.4
llvm__expression_lowering__native__core_member_helpers,0.62,975992,1319,ok,0.8.4
llvm__expression_lowering__native__core_member_lowering,3.53,977784,10081,ok,0.8.4
llvm__expression_lowering__native__core_operators,1.36,987128,6307,ok,0.8.4
llvm__expression_lowering__native__core_ops_lowering,5.09,991608,12151,ok,0.8.4
llvm__expression_lowering__native__core_ownership,0.99,1002616,2136,ok,0.8.4
llvm__expression_lowering__native__core_parse,2.35,1005048,12015,ok,0.8.4
llvm__expression_lowering__native__core_parsing,1.77,1013240,7796,ok,0.8.4
llvm__expression_lowering__native__core_scopes,1.32,1019000,3540,ok,0.8.4
llvm__expression_lowering__native__core_strings,2.05,1022456,5520,ok,0.8.4
llvm__expression_lowering__native__core_text,1.39,1027960,5845,ok,0.8.4
llvm__expression_lowering__native__core_type_mapping,1.62,1032312,6377,ok,0.8.4
llvm__expression_lowering__native__lambda_lowering,3.33,1037304,11877,ok,0.8.4
llvm__expression_lowering__native__lambda_param_inference,1.85,1049336,8445,ok,0.8.4
llvm__expression_lowering__native__mem_footprint_lowering,0.65,1057400,1479,ok,0.8.4
llvm__expression_lowering__native__mod,1.16,1059320,1534,ok,0.8.4
llvm__expression_lowering__native__runtime_call,0.98,1061880,2183,ok,0.8.4
llvm__expression_lowering__native__statement,3.29,1064312,7939,ok,0.8.4
llvm__expression_lowering__native__statement_assignment,2.77,1072504,6477,ok,0.8.4
llvm__expression_lowering__native__statement_parsing,0.96,1079160,3278,ok,0.8.4
llvm__expression_lowering__native__statement_suspension,1.39,1082104,3108,ok,0.8.4
llvm__expression_lowering__native__statement_type_mapping,1.24,1085048,4406,ok,0.8.4
llvm__expression_lowering__native__temp_recovery,0.43,1088760,983,ok,0.8.4
llvm__expression_lowering__native__core_operands__comparisons,1.31,1090168,4039,ok,0.8.4
llvm__expression_lowering__native__core_operands__dispatch,1.48,1094008,4246,ok,0.8.4
llvm__expression_lowering__native__core_operands__general_fallback,1.79,1097976,4534,ok,0.8.4
llvm__expression_lowering__native__core_operands__numeric_coercion,0.65,1102584,1540,ok,0.8.4
llvm__expression_lowering__native__core_operands__numeric_float,0.67,1104632,1664,ok,0.8.4
llvm__expression_lowering__native__core_operands__numeric_integer,1.11,1106680,3537,ok,0.8.4
llvm__expression_lowering__native__core_operands__pointer_coercion,1.21,1110264,3275,ok,0.8.4
llvm__expression_lowering__native__core_operands__pointer_tail,1.15,1113848,2987,ok,0.8.4
llvm__expression_lowering__native__core_operands__type_predicates,0.43,1117048,1061,ok,0.8.4
llvm__expression_lowering__native__core_operands__union_fallback,1.10,1118456,2841,ok,0.8.4
